Year,Month,ArtistScore,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,target
2003,9,0,0.78,0.941,2,-5.459,0,0.0944,0.0611,0.00511,0.0823,0.464,140.014,0
2006,1,1,0.683,0.59,1,-5.423,1,0.458,0.326,0,0.148,0.653,100.892,1
2010,11,1,0.829,0.909,11,-5.836,0,0.0686,0.0878,0,0.193,0.791,120.011,1
2009,8,0,0.602,0.785,7,-6.129,1,0.0578,0.245,0,0.19,0.565,84.038,1
2006,1,0,0.259,0.994,8,-3.96,1,0.39,0.000359,4.58E-05,0.695,0.175,164.458,0
2002,3,1,0.894,0.745,5,-3.485,0,0.0869,0.0923,0.000245,0.0756,0.935,93.958,0
2009,1,0,0.464,0.275,4,-11.786,1,0.0412,0.864,0.596,0.111,0.129,144.812,0
2005,8,0,0.643,0.797,10,-7.599,0,0.033,0.283,0.00871,0.106,0.871,105.576,0
2005,6,0,0.829,0.674,8,-4.493,1,0.0362,0.0838,0.00174,0.102,0.974,109.917,1
2009,6,0,0.248,0.952,11,-4.835,1,0.0815,0.00035,0,0.0977,0.372,145.978,0
2010,1,0,0.678,0.737,10,-9.788,1,0.0568,0.298,0.896,0.231,0.408,123.995,0
2007,8,0,0.738,0.731,9,-4.129,1,0.214,0.0503,0,0.0457,0.864,91.807,0
2009,2,0,0.679,0.812,5,-5.579,1,0.0395,0.266,0,0.117,0.882,77.114,0
2010,2,1,0.359,0.126,7,-17.325,0,0.0405,0.678,0.000483,0.143,0.0636,175.466,0
2007,2,0,0.627,0.544,11,-17.444,0,0.0525,0.0605,0.189,0.113,0.756,89.976,0
